keyword,zodiac_sign_id
自分らしさ,1
オリジナリティ,1
新しさ,1
正直さ,1
自己愛,1
勇気,1
リーダーシップ,1
自立,1
熱意,1
積極性,1
物質的豊かさ,2
五感,2
収入,2
センス,2
価値観,2
継続力,2
安定,2
忍耐強さ,2
所有,2
信頼,2
好奇心,3
コミュニケーション,3
言葉,3
フットワーク,3
SNS,3
学び,3
情報収集,3
臨機応変,3
聡明さ,3
インターネット,3
家族,4
プライベート,4
家,4
身のまわりの環境,4
安心,4
心の拠りどころ,4
育む,4
自分を満たす,4
感情,4
慈愛,4
イベント,5
存在感,5
寛大さ,5
自己肯定,5
情熱的,5
遊び,5
創造力,5
カリスマ性,5
自己実現,5
プライド,5
健康,6
整理整頓,6
体質改善,6
仕事,6
分析,6
生活リズム,6
計画性,6
ライフワーク,6
癒し,6
順応性,6
人間関係,7
出逢い,7
パートナーシップ,7
結婚,7
バランス,7
美的感覚,7
社交性,7
調和,7
親近感,7
協力関係,7
不労所得,8
財産,8
セックス,8
再挑戦,8
深い絆,8
変容,8
こだわり,8
没頭,8
集中力,8
コミットメント,8
海外,9
専門分野,9
アウトドア,9
スキルアップ,9
異文化,9
自由な生き方,9
向上心,9
探求,9
行動力,9
冒険,9
成功,10
社会的地位,10
ポジション,10
結果,10
能力アップ,10
本質,10
目標達成,10
努力,10
スケジュール管理,10
責任,10
ネットワーク,11
ユーモア,11
現状打破,11
個性,11
斬新さ,11
ひらめき,11
直感,11
自由,11
革新,11
友情,11
芸術,12
平和,12
スピリチュアル,12
インスピレーション,12
トラウマ,12
喜び,12
大いなる力,12
無条件の愛,12
サレンダー,12
優しさ,12
